Information,Check out the January/February newsletter and find out what we've been up to these past few months
Community,I will be making the petition in the next couple days and checking on the validity of an online one. Thanks for the support!
Community,"Please give Nick a call @ 2445-4206 or 2445-4208, he's there now!"
Information,"As promised to our English-speaking friends, fans and supporters, here is: \xa8The Lionfish: Serious Threat to Roatan\xb4s Reefs\xa8 (English version) which also will be aired on local television"
Information,"The graph indicates funds generated from the sale of the ""user fee"" and membership payments by dive shops and businesses outside the SBWEMR between January and April 2015. It does not include user fees on consignment, t-shirt sales or lionfish licenses. We would like to thank all of our supporters, big and small, and highlight that without you promoting our conservation message, we would be unable to continue protecting Roatan's reefs"
Action,Last chance to get your 2011 calendar delivered to the US before the New Year. Order by tomorrow and maybe you'll have one under your tree in time for Christmas. Email info@roatanmarinepark.net for details
Community,"Bryan this was at Cara a Cara, the shark dive site."
Action,"It\u2019s that time of year again for the RMP underwater photo competition. You are invited to send 6 photos which can fall within any of the 6 categories. They must be taken by you, here on Roatan and underwater. Please attach a location, name and category for each photo submitted. The deadline is July 15th and all submitted photos will be available for viewing on facebook. The Best Find category will be judged by \u201cyou\u201d on facebook with the most votes winning that group. All other categories will be judged by independent adjudicators and the winners will appear in the 2014 RMP calendar."
Action,Lionish Workshop this Wednesday at 4pm! Don't miss your chance to get a license to kill! Sign up today!
Information,Check out what the RMP and its staff have been up to in January
Information,Of all our members most of them will stockpile but of those that do not have the freezer capacity we know their suppliers and they are all frozen in season.
Community,Best Find Album. The photo with the most likes will win when judging stops at the end of the month. Good luck to all competitors
Community,"Will check with Nick and update, Thanks guys!"
Community,We are so excited about the Caribbean Cup Freediving Competition happening here in Roatan. Like their page for more updates.
Information,En punta Gorda!
Community,"Great Job Turquoise Bay Resort! They are trying to dethrone Mayan Princess for that 1st Place title at the Lionfish Cookoff this Saturday at San Simon! Remember we will start at 6PM and it's first come, first serve! "
Information,Interesting article on the lionfish. The cook books will be available at the RMP office at the end of the month 
Information,Sorry for the short notice but it was extremely rough on the south side this morning so we then released the juveniles in West End.
Community,"Clay Fowler I will give you a bit of background. There is an Acuerdo (002-2004 art. 35) that states that no plastics, bottles, bags or packaging shall be introduced into The Bay Islands without the necessary removal efforts in place. As of June of this year we have had the 4 biggest supermarkets ban plastic bags. They are now slowly and surely bringing them back as there are no municipal sanctions in place, even though we have had this Acuerdo since 2004! \nWe, the RMP, want to show the municipality the support this initiative has from the communities. \nSo I ask again... would you sign a petition to save our ecosystems?"
Community,"Bill 'Sully' Sullivan, the other one however clearly states that it was taken from within the zones which we patrol which is from shore to 60 meters depth (Pretty much to the dropoff). \n""At 10-50 feet under rock and coral"""
Community,"Perla Dive most of it had been taken to the dump. Donna Pieracini I guess not, is it bad up there?"
Information,"2 likes away from 7,000!!!!"
Community,Absolutely amazing video!!!
Action,"we are always looking for volunteers, however the project availability may always change. Diving is always a possibility"
Community,"If you are a diver and have witnessed the snapper and grouper pointing out the lionfish, please add a comment on the link as some guy referred to it as ""ridiculous"""
Community,Check out this nice little infographic full of helpful tips about sustainable traveling.
Action,"Check back regularly to see the submissions for this year's photo competition.  Winners will be announced in August and featured in the 2010 RMP Calendar, which will be available in late Sept. \n\nNames of the submitters will not be shown prior to judging so as to not bias the results."
Community,What is your best lionfish recipe? We like it with a little lime juice and onion ala ceviche!
Action,Great day today for the RMP and ProTECTOR. Day two of our turtle workshop has commenced and available participants got an extra treat by visiting some of our babies at Maya Key this afternoon! \nThe turtles we visited will be released on Friday 9AM in Flowers Bay as that is where they hatched from their nests last year. \nWe will also be doing a beach cleanup of the nesting area in hopes of having more nests this year!! \nThis is an exciting event please come by if you can!
Information,How deep is the ocean? How can we protect something so immense with such little help? STAND UP FOR OUR OCEANS. STAND UP FOR OURSELVES!
Action,cook off is tonight
